as_of_date,delivery_date,carrier,manifest_sha256,methodology_version,outcome_methodology_version,outcome_status,rows_counted_sha256,position_count,priced_position_count,missing_price_position_count,total_mw,filled_position_count,filled_mw,fill_rate,hit_rate,realized_filled_pnl,realized_pnl_if_filled,worst_path_hour_pnl,expected_ev,expected_filled_ev,ercot_data_source,ercot_data_product,ercot_data_snapshot_sha256,ercot_data_fetch_time_utc,ercot_data_watermark,private_outcome_sha256
2026-06-01,2026-06-02,w31,8ae1e969584454065331e6a8ee2bb3354a3bf3dfca8bd176ad16610766adf5a0,m2026.05.26.v1,m2026.05.26.v1+recovery-2026-06-21,outcome_joined,b4d7fbe90e08c800faa4c8c59adc265b7a1fd06ee4c4493e3f90fac0f7624833,48,48,0,832.0,11,265.0,0.229167,0.636364,-24468.475,-31916.665833,-12883.2375,7066.148355,3047.962999,recovery_backfill_2026-06-21,lmp_hourly_da_rt,4519193e843577ab7a6f92ef3bf1c0c008fe9ecee742dfd4e8b3da951d5b54b4,2026-06-22T12:00:00+00:00,2026-06-02,9d0e81c9f81a2931c04d36fc363b3bf87be72721e69af58373aa21d7d118f239
2026-06-02,2026-06-03,w31,cac02f8b80ed9ab19720c810069dfd7fef5e483d226a6ac55cfc360593578eb5,m2026.05.26.v1,m2026.05.26.v1+recovery-2026-06-21,outcome_joined,ac20e512eb3503c6893992c8d6da0bce7bcc7ac44aef79758c03061d145d38fc,53,53,0,889.0,20,197.0,0.377358,0.8,1677.9725,-12156.834167,-2291.31,8579.347173,3704.616848,recovery_backfill_2026-06-21,lmp_hourly_da_rt,c3a0d3fd44e81f16f8a2ff76e02d1d572ba51c31fe6e63bee78227b7d24e738d,2026-06-22T12:00:00+00:00,2026-06-03,b13b9057f737a8fbc1aa76c7923be3e3f1c3f09a6a2abf836e6b672538824f39
2026-06-03,2026-06-04,w31,ae1abde866d06682a284240c6b77170953864008f909fb6dc4c234176dbde55d,m2026.05.26.v1,m2026.05.26.v1+recovery-2026-06-21,outcome_joined,016009d09f01674ad269168c395833993933f8f2df2f87eff6ea50f084264d1a,69,69,0,1117.0,34,377.0,0.492754,0.617647,-240.935,4852.491667,-1094.1625,10353.739008,4246.191155,recovery_backfill_2026-06-21,lmp_hourly_da_rt,950046b40d45537e31b460c9a483419f7b7f710cac2b776268236079c7f3b0e9,2026-06-22T12:00:00+00:00,2026-06-04,b834bace6313cfe65ea45116a3fae2da65425c535bf4085241734ef9a12f6366
2026-06-04,2026-06-05,w31,7446af23d589477e69d9b5451e9d38523c8a8736cf0d1125e83def2e560e9cd0,m2026.05.26.v1,m2026.05.26.v1+recovery-2026-06-21,outcome_joined,53c1e224bfeb593c3bd8210761375388e967ec893cbf1541576a51c5439ecd25,76,76,0,1198.0,28,362.0,0.368421,0.607143,-3961.8925,-1130.03,-3549.69,11250.503777,4081.211069,recovery_backfill_2026-06-21,lmp_hourly_da_rt,1bc3a41e981f2a8f5eb311e57aa3b5cf569037954fe04bebaa909961291ed0ca,2026-06-22T12:00:00+00:00,2026-06-05,a32707ca26495ef30510c316d429aa1ad4cf81593ef794764422d40e817a0241
2026-06-05,2026-06-06,w31,d7eaa3994dd03245daf98caef155e6c4355279606a0fa285b12f6f3d162959c0,m2026.05.26.v1,m2026.05.26.v1+recovery-2026-06-21,outcome_joined,9e5e3e451a782293e44f25a9cda8fc3c90461801c523fc8a09853808a66b0b70,74,74,0,1221.0,36,504.0,0.486486,0.944444,25299.746667,26911.485833,-361.69,11488.513121,4424.437445,recovery_backfill_2026-06-21,lmp_hourly_da_rt,f4136c8423edf61856168a53454e51d10c179296368b7a5c8dd4eca2a188f425,2026-06-22T12:00:00+00:00,2026-06-06,76e6331245762503286508839e8043ce9e3da32b48397590b31d57db87d8524e
