as_of_date,delivery_date,carrier,manifest_sha256,methodology_version,outcome_methodology_version,outcome_status,rows_counted_sha256,position_count,priced_position_count,missing_price_position_count,total_mw,filled_position_count,filled_mw,fill_rate,hit_rate,realized_filled_pnl,realized_pnl_if_filled,worst_path_hour_pnl,expected_ev,expected_filled_ev,ercot_data_source,ercot_data_product,ercot_data_snapshot_sha256,ercot_data_fetch_time_utc,ercot_data_watermark,private_outcome_sha256
2026-06-14,2026-06-15,w31,2afb6146c38c1b4518f75c0334ee5e3e7fbf8588427e9d9889e159aaa9924ef1,m2026.05.26.v1,m2026.05.26.v1,outcome_joined,71c4fdd514f02ae1d9829fc028eb0138eba2073112d50ffc8a2ceef4b9765679,91,91,0,1390.0,33,449.0,0.362637,0.69697,9950.805,8912.003333,-4410.9375,12449.197812,4417.856487,ercot-settlement-price-snapshot,lmp_hourly_da_rt,21a1f2774b7709e27db085fa833961c82cf21b13d4aba18f0725c98b0d5e7541,2026-06-18T19:10:24.525773+00:00,2026-06-15,5511ef6de07831793b6c57f816905322afaf236190528f6b4cc31b0fab4f9345
2026-06-15,2026-06-16,w31,63001d6f3dcab26ae3e44ef7911dcaae3ceeb17c038d74f3325f5ca5afa0e7c2,m2026.05.26.v1,m2026.05.26.v1,outcome_joined,4996ac90fa8c2fb0db40ccbb411b95d49a4247a711ef2b527d144365ee30788d,102,102,0,1625.0,34,501.0,0.333333,0.852941,20905.201667,10614.461667,-1203.0475,14622.665485,4654.655826,ercot-settlement-price-snapshot,lmp_hourly_da_rt,4d3e5143ca430499408f1da8af852697edc5de877ef24061ffacbdc386ef2cc1,2026-06-19T13:15:03.328915+00:00,2026-06-16,26832656e376ab2ed75c0485e62cc5bb11a1ab314cb525994e2cc9ceae520f35
2026-06-16,2026-06-17,w31,61efe1ed75672614fdfbcf6146cb3f2298e0a0f7d6b8860b5ec40c9d41dacbdd,m2026.05.26.v1,m2026.05.26.v1,outcome_joined,9c84e72c9442c175a59f1619deaaa497dbb8f2e10de408c5f8113286f1c0a13f,106,106,0,1732.0,44,739.0,0.415094,0.545455,-9257.2175,-4444.6525,-5568.1275,17081.314335,6523.115617,ercot-settlement-price-snapshot,lmp_hourly_da_rt,bdaafc2c598d03e0ab1b2a03c638ffecf08917ea08b55125e0a8743a01d7430a,2026-06-20T13:15:02.344750+00:00,2026-06-17,192b9c2f0055db02098e4b595b1efe3a8ed41dbd4e67667ea1ef31d42ad7eb97
2026-06-17,2026-06-18,w31,908fe924bdf579645bd4571bebf07b22d16194b35f59a9420c783904449a9909,m2026.05.26.v1,m2026.05.26.v1,outcome_joined,476469cacac1b3cdf0b14679b0fa67b7b01ea44852a7810499ae17335aab00e6,101,101,0,1635.0,41,698.0,0.405941,0.878049,49794.290833,55097.316667,-1971.7425,16948.150799,7496.561358,ercot-settlement-price-snapshot,lmp_hourly_da_rt,217b2d1038d24e4d5735ae9d5791237e5f6b2a64577a41a410cddfc574c9870f,2026-06-21T13:15:02.420069+00:00,2026-06-18,98c84ef8eadf9c85a619caf1ba35124366ceb8d8cf9e69f1a754dade68013445
2026-06-18,2026-06-19,w31,aabd203bf16917a805ff52c5ae1d9c285109e2ea3b0eaecb3f528e5b1cc71eba,m2026.05.26.v1,m2026.05.26.v1,outcome_joined,e1a776082398e41b6ca6fcdfc38738d04228c207d19df07af652c215a80fd78b,110,110,0,1688.0,48,644.0,0.436364,0.666667,9443.403333,16615.108333,-1510.6425,18789.144381,8440.07756,ercot-settlement-price-snapshot,lmp_hourly_da_rt,3a1405e9ffa0f60f674e1afc512baaed0a9cf9be1065f3d431a35d8f7eba3774,2026-06-22T13:15:03.733244+00:00,2026-06-19,c9263ec3eccb0fcfe326fc1427626d0a4ddfd678a37f45c5761c71c2993076e0
2026-06-19,2026-06-20,w31,73b6494ae6f72a950ee0365c6be4e7abbc099c01edf90d74ea260359060da03b,m2026.05.26.v1,m2026.05.26.v1,outcome_joined,586bc095f44b6daad87e703ce9acc9a137e0a93ae1a4b8f56ab88e01821f92ba,104,104,0,1638.0,36,448.0,0.346154,0.916667,15600.7,26203.629167,-338.9425,19404.444171,8668.761511,ercot-settlement-price-snapshot,lmp_hourly_da_rt,eada7efe62f5d569ac7ed1a7c0406f643d71cbaabf15d1bdfee3cfd36c30a5b6,2026-06-23T13:15:05.014441+00:00,2026-06-20,eb42210addfde50169ecf249c2ec22e5f2b018bf745faa7914a0bff223382b29
2026-06-20,2026-06-21,w31,89fa99611a5577ca093247841bee93e23250a2c8cda244d4196664c0d2a45440,m2026.05.26.v1,m2026.05.26.v1,outcome_joined,c6d84ccfa05baa073c4e2abbb4457b4090c7da7875327648d731b928e54a84d9,100,100,0,1536.0,37,611.0,0.37,0.864865,55405.905833,50962.138333,-388.583333,18398.277152,7923.835426,ercot-settlement-price-snapshot,lmp_hourly_da_rt,a2ddfcc31eacc11e8c87cb1a46ce7cac7a709271943bf167b4371a96bd301222,2026-06-24T13:15:07.995841+00:00,2026-06-21,e9d07e3f012043a849b3c4e057fd466645dff702c4833d36d29cad06c2809bf2
