as_of_date,delivery_date,carrier,manifest_sha256,methodology_version,outcome_methodology_version,outcome_status,rows_counted_sha256,position_count,priced_position_count,missing_price_position_count,total_mw,filled_position_count,filled_mw,fill_rate,hit_rate,realized_filled_pnl,realized_pnl_if_filled,worst_path_hour_pnl,expected_ev,expected_filled_ev,ercot_data_source,ercot_data_product,ercot_data_snapshot_sha256,ercot_data_fetch_time_utc,ercot_data_watermark,private_outcome_sha256
2026-05-26,2026-05-27,w31,cb2a002b5043240b26f911480a5c1aa7f7812430d9503c634be0f339e88da6a1,m2026.05.26.v1,m2026.05.26.v1,outcome_joined,f453bbd25e7f15d8249396a577024f3483d1de383aaf12b3718e380667d678b0,21,21,0,389.0,3,25.0,0.142857,1.0,2774.1925,7348.77,0.0,2955.319527,1277.49813,ercot-settlement-price-snapshot,lmp_hourly_da_rt,53e7cd32413fe450f043853f9e0fdcdebf5e8a5ed97ea78e839c07b247ffcb5e,2026-06-01T13:15:12.144556+00:00,2026-05-27,13a0d5b1d98a2e399f6f2d884a2475c0ddb34d85db41f82f726ddb8359c28365
2026-05-27,2026-05-28,w31,70845ac0b2ce331e3e5725f7272d50bdfda362f11b5485536e8e82371751742d,m2026.05.26.v1,m2026.05.26.v1,outcome_joined,e541ed0c8d12e751101c35dc5305ec4620efc2cb39947788e85505250e800917,40,40,0,631.0,1,21.0,0.025,1.0,469.14,3155.755,0.0,4815.216019,1931.221307,ercot-settlement-price-snapshot,lmp_hourly_da_rt,faae6c4a6ac5322fbe4740451aed47b41113728c3a0519aa16b4a468edd19f7b,2026-06-01T13:15:12.144556+00:00,2026-05-28,2f82bc286ad95c0cce9bca6e9f7d94623f0192e96e179d09fedb08baf5143acb
2026-05-28,2026-05-29,w31,f28f3a05944991c40c4554bcb2983996b1cfe17580f55408eeb3fb7bd2943192,m2026.05.26.v1,m2026.05.26.v1,outcome_joined,78b9d5533b6313e38a66a4feb611b265791bc890da9fe480720d049b0c0b4949,50,50,0,786.0,14,247.0,0.28,0.714286,20282.375,19261.309167,-133.5225,6623.639046,2526.386656,ercot-settlement-price-snapshot,lmp_hourly_da_rt,0b16c0b8ad690c2fd8ed348895f3b60d4363f440e030187002392968856512b5,2026-06-01T13:15:12.144556+00:00,2026-05-29,7f6be0aef38ac1defb2b1dea850e7dfd8cc81566e4bec20e3ce3339d001616c5
2026-05-29,2026-05-30,w31,7835952044c0c428abb32e8520f61a766af01e9ed5a661b3f5a055aae6a08e86,m2026.05.26.v1,m2026.05.26.v1+recovery-2026-06-21,outcome_joined,47ea3ef6a00940e6ce4780d7ca12a870dbb44da30164456c817e4ec04297cf05,60,60,0,972.0,15,313.0,0.25,0.666667,-11968.26,-12377.1325,-12800.55,7022.582238,2209.238138,recovery_backfill_2026-06-21,lmp_hourly_da_rt,9ffc37ef44ce11c291b1927431686404b333edeaa8464c1e6ba05ac2d0a57d1c,2026-06-22T12:00:00+00:00,2026-05-30,e3083796f8e9f44cb0052c8f16e38744e806027d2ad31745a3bcca5ab4ddc4fa
