as_of_date,delivery_date,carrier,model_label,git_commit,config_hash,carrier_metadata_sha256,methodology_version,prospective_or_backfill,pipeline_status,valid_day_status,publication_time_ct,manifest_sha256,correction_of_manifest_sha256,corrected_by_manifest_sha256,advisory_detail_sha256,advisory_csv_sha256,positions_sha256,scored_signals_sha256,pipeline_log_sha256,timestamp_status,opentimestamps_proof_path,exclusion_reason,notes
2026-06-02,2026-06-03,w31,weather-w31-2026-06-01+d6ff8b19,a18641035e6ab4112efa71e8e1fbe55d2a690c02,d6ff8b19,8508c7c7762d55de3e1e01eada8293692d3fb3defd9041adaea53c47d4fa12a0,m2026.05.26.v1,backfill,SUCCESS,valid,2026-06-02T07:06:01-05:00,cac02f8b80ed9ab19720c810069dfd7fef5e483d226a6ac55cfc360593578eb5,,,9e2029b1b3e67d2b612d51e47248beaea8d4004f9d55c7a78637859f40aceecc,168f14b3313511bbf7b9f76cc7686015db01af074690cacd6d224178f3d07578,84a7870460e579f6aa8159a1fffacf57890f0946f00e6c1e65a1a8ba84f39512,dc008962f4f548c86e89c4410ff7b615eafabe970ae37be99682e12ed1b935eb,b5eec0f58058a22529905245a60831f84263a0d739a595075024d9a5aae656b8,timestamp_pending,,,backfill hash row published after 2026-06-02..2026-06-05 readiness outage; not a normal prospective public row
2026-06-03,2026-06-04,w31,weather-w31-2026-06-01+d6ff8b19,a18641035e6ab4112efa71e8e1fbe55d2a690c02,d6ff8b19,8508c7c7762d55de3e1e01eada8293692d3fb3defd9041adaea53c47d4fa12a0,m2026.05.26.v1,backfill,SUCCESS,valid,2026-06-03T07:01:48-05:00,ae1abde866d06682a284240c6b77170953864008f909fb6dc4c234176dbde55d,,,f86177ec3a29ff4ed3b89e26f97d056b93ad36b5488c6c37afd973ac56ab073b,87e530d38efa5bba9ea42269032a1d517b0dadd7c3ac17a9540b02593d7aece4,4ea4d6f023421d1483936ff04d285b086f5ff326e999982aba85fb1cefd3af92,db29dd24513d4adad93f6419a063e4bcb9cafc4b474cc87443648f93226ddcbd,2d77dd1f921c041d181858587aef5f5b64630fd5612c7a6a80f7a2e0f8d2e5ed,timestamp_pending,,,backfill hash row published after 2026-06-02..2026-06-05 readiness outage; not a normal prospective public row
2026-06-04,2026-06-05,w31,weather-w31-2026-06-01+d6ff8b19,a18641035e6ab4112efa71e8e1fbe55d2a690c02,d6ff8b19,8508c7c7762d55de3e1e01eada8293692d3fb3defd9041adaea53c47d4fa12a0,m2026.05.26.v1,backfill,SUCCESS,valid,2026-06-04T07:01:30-05:00,7446af23d589477e69d9b5451e9d38523c8a8736cf0d1125e83def2e560e9cd0,,,ce125fc5767e79d8ede5131ce1291aa482919ea317d88866f092784e19063924,d18938fedc6b14c4d5fa2c66a32eed8c2c563e1a8ad9a61d92e5f71fb91204e2,a74d8d1b66a867b8337ef44afad8bd0aa9fbb24f3163cc89871a368f28b2adcb,1228bb446fd83217586d96af48d059f81febb723a521921a1c6a01df1bb9c074,fce4dc98b9bf195fac421f3a2f165c6e88eb4f5ab8e4f5ad46ebca25ca20c217,timestamp_pending,,,backfill hash row published after 2026-06-02..2026-06-05 readiness outage; not a normal prospective public row
2026-06-05,2026-06-06,w31,weather-w31-2026-06-01+d6ff8b19,a18641035e6ab4112efa71e8e1fbe55d2a690c02,d6ff8b19,8508c7c7762d55de3e1e01eada8293692d3fb3defd9041adaea53c47d4fa12a0,m2026.05.26.v1,backfill,SUCCESS,valid,2026-06-05T07:01:55.367072-05:00,d7eaa3994dd03245daf98caef155e6c4355279606a0fa285b12f6f3d162959c0,,,9d805b46f912cd939ef0c8290da682bedc60c321c435968bcd4e6ff4cd9940df,c01b91a31a5725db1f525ef31eb8c22351689ab5bfdb6ed8060b04b37121229b,ee6b57a7298ea59074e231c26c1b3a3fb9d6e85c0ebc19afe992361d67fe65e4,a75d71a31d9d43d9b90a3e4dfa3c114d05d7985c9afe09f38540bf8e147eba60,3eac4e8a417649d8f0c74ae95a9be334c983e93a4b12cf4a84d2054945d54ab6,timestamp_pending,,,backfill hash row published after 2026-06-02..2026-06-05 readiness outage; not a normal prospective public row
