as_of_date,delivery_date,carrier,model_label,git_commit,config_hash,carrier_metadata_sha256,methodology_version,prospective_or_backfill,pipeline_status,valid_day_status,publication_time_ct,manifest_sha256,correction_of_manifest_sha256,corrected_by_manifest_sha256,advisory_detail_sha256,advisory_csv_sha256,positions_sha256,scored_signals_sha256,pipeline_log_sha256,timestamp_status,opentimestamps_proof_path,exclusion_reason,notes
2026-05-26,2026-05-27,w31,weather-w31-2026-05-26+d6ff8b19,8315781bd3f0ca270b6e8df105782849e2bad475,d6ff8b19,abd6f15c7aa80904e7da4a60c2aa73d45ade076b31c90c36e7b6e2479f2917d5,m2026.05.26.v1,prospective,SUCCESS,valid,2026-05-26T09:27:21.837592-05:00,cb2a002b5043240b26f911480a5c1aa7f7812430d9503c634be0f339e88da6a1,,,4061307977af86dd28ee9d23baa21ff5c9885ad0214933d3f7b3806c8f32c666,3d25bf64948c820153a9c24d36e441e111071f5ac8771003d43328d1f93a0b01,c489d485f6429e83ee6bf1d68a6a1cd0aef515624ff3b9a5fb1a05c09a95c059,d844ca6229aaf03f926c5c29e37386de08f7513d470979a7e620908225f221b1,bb92fa3c5c73167c84ae67a92b2aa2060a5f69b76a19deb703bf24f02bdc1e4b,timestamp_pending,,,
2026-05-27,2026-05-28,w31,weather-w31-2026-05-26+d6ff8b19,135839cba960f9ed10155343890c4e1094d50a8b,d6ff8b19,abd6f15c7aa80904e7da4a60c2aa73d45ade076b31c90c36e7b6e2479f2917d5,m2026.05.26.v1,prospective,SUCCESS,valid,2026-05-27T07:16:16.681072-05:00,70845ac0b2ce331e3e5725f7272d50bdfda362f11b5485536e8e82371751742d,,,7ea43e6c6cc2fc2a29719b5f69164ce950c1130872d7edc9eaae65f7a466c16b,bf2fc9c6e08751256256ef534f1a2a694da240c51aa82c83b3297fae39775a39,040317bd6c96768f50312cf79d427517ea77689ad989a540f8c8e3c1b940deaf,e1f16b63723c6698b36488a9308a11db024f529a517ace082b61810137e581f1,f68c2f64cb66019a2e93c96ed210baee0667be7b8c1ce3d152d534d8ab03113f,timestamp_pending,,,
2026-05-28,2026-05-29,w31,weather-w31-2026-05-26+d6ff8b19,138d272b82d4d90a4522ed062633ff51f8753a4b,d6ff8b19,abd6f15c7aa80904e7da4a60c2aa73d45ade076b31c90c36e7b6e2479f2917d5,m2026.05.26.v1,prospective,SUCCESS,valid,2026-05-28T07:05:07.190681-05:00,f28f3a05944991c40c4554bcb2983996b1cfe17580f55408eeb3fb7bd2943192,,,f1727294d4cdfac54976a3bb22d6b740833128a5ace08cb04011f587d7701daa,88b7f505be27d05624adc878a887dac7f60eee3f94004971ee7031c226a5924c,892faf278fdf4afd3d084dafe60545c7db0f994e91e81128da4a75a669063159,bd4010f500110fabb7f7b22a802698e26f5b4c425647cb08717fd09a35535eb3,755f57b196750cd32735ed26129b22f8c6f8d49ca9d8e2755040705c07121ed3,opentimestamps_proof,hashes/opentimestamps/2026/05/2026-05-28_w31_f28f3a05944991c40c4554bcb2983996b1cfe17580f55408eeb3fb7bd2943192.ots,,
2026-06-01,2026-06-02,w31,weather-w31-2026-05-26+d6ff8b19,2618d49c20e9f31adc28bb92830ea882abeb1e1c,d6ff8b19,170b7c4b37f038dfe7fcdff5323617909d9159a2fd3e911feaeea8efb449dae2,m2026.05.26.v1,prospective,SUCCESS,valid,2026-06-01T07:05:59.639370-05:00,8ae1e969584454065331e6a8ee2bb3354a3bf3dfca8bd176ad16610766adf5a0,,,3c79e1f615b9524cdd14aa329569613c2e68077989ef94e11627b1aaa66ce9fd,39095180429a8ae2988c8e246dfbd74f244449690b919757934bee697d0890ce,9668f759e271f0f5c9a28e127158527661e9ff62d64e91bb5cfbb09483ec2ff3,5d8c37f0b7909abfc8a8466973f9ad25bfd987b247791d263f72673f90d07af3,6a4f79ab34b360252d4c4a2eea74a86f154e5d3034bd1f18d72ce4b13315fc8c,opentimestamps_proof,hashes/opentimestamps/2026/06/2026-06-01_w31_8ae1e969584454065331e6a8ee2bb3354a3bf3dfca8bd176ad16610766adf5a0.ots,,
2026-06-08,2026-06-09,w31,weather-w31-2026-06-01+d6ff8b19,a18641035e6ab4112efa71e8e1fbe55d2a690c02,d6ff8b19,8508c7c7762d55de3e1e01eada8293692d3fb3defd9041adaea53c47d4fa12a0,m2026.05.26.v1,prospective,SUCCESS,valid,2026-06-08T07:06:58.851933-05:00,20a7be8fa35004db097c4a9b4469e7885927f2c2ce944cae62d6f752fb85b581,,,50ea71e878f17946adf1d9e682365ae3d8a245e69d8eb4cbf4a4f3bebdfc1874,358d41694e80cafcd47758bb5572460f3e0a9e49515a69a343e200ecc34accff,bf31ac3efffdfad70aff0863faaf4dc1d2cb286a5da621121e20f2ada09fecb0,284010c8466091fc455b46946fa16636adbac4784d8ac2057e2f3662dfd294be,c4e96eac68e4965af0a003b53c49aaba36190eeea2b5d2e567dd24d692719df7,opentimestamps_proof,hashes/opentimestamps/2026/06/2026-06-08_w31_20a7be8fa35004db097c4a9b4469e7885927f2c2ce944cae62d6f752fb85b581.ots,,
2026-06-09,2026-06-10,w31,weather-w31-2026-06-01+d6ff8b19,8742e39c49b866d669d5d988dc048e83b16753ae,d6ff8b19,8508c7c7762d55de3e1e01eada8293692d3fb3defd9041adaea53c47d4fa12a0,m2026.05.26.v1,prospective,SUCCESS,valid,2026-06-09T07:05:47.887311-05:00,1ae2b99b103ad2fb129ed910b11bf177003d5e4aff82a81d24f29c0941260190,,,34f4980050c0827c71e44558994b5bb262480b2828465fd6a73e4bf5867909df,a5769253d1e0d0017c8c6d54f080f84a188f89812ffa44e115506873624e4f27,5284e941d06ea375bab6dd2a4a05c5f9b7763eda5b9d171d781ea5fed10a8321,575a98ddf51e47f2e4d5c7e0874b02d59589c89099275cca635e1283a1825edb,ccd8649fd2f096f7bdba185e0c9778d1fe7fce42cbd02228d11b86cccfec5ea0,opentimestamps_proof,hashes/opentimestamps/2026/06/2026-06-09_w31_1ae2b99b103ad2fb129ed910b11bf177003d5e4aff82a81d24f29c0941260190.ots,,
2026-06-10,2026-06-11,w31,weather-w31-2026-06-01+d6ff8b19,8742e39c49b866d669d5d988dc048e83b16753ae,d6ff8b19,8508c7c7762d55de3e1e01eada8293692d3fb3defd9041adaea53c47d4fa12a0,m2026.05.26.v1,prospective,SUCCESS,valid,2026-06-10T07:01:39.767397-05:00,fccd1b6bcf3d9c09b96c67c709569aab36b439c3c1f37c0d69e594df723ac0df,,,d97fd957489b8b7cf211f7208a555e5d2875ba00f7aee051248b58eaebee3106,8a54215803d5012c995cb1059904bc9e6cbe33d2d8595f94a9a455044ebca210,2eb0ca70a4aaf629d406bc65f045110989879f9c5ebbb7bf86762b6afcfb107e,0123041a4ee3ef4844ebf56ee0daed1cba31886104c79dd702fc83df8673bca2,16937957d6015109628f98d47dcc04962f93935a4943b26a7dab9d0aafcd6b27,opentimestamps_proof,hashes/opentimestamps/2026/06/2026-06-10_w31_fccd1b6bcf3d9c09b96c67c709569aab36b439c3c1f37c0d69e594df723ac0df.ots,,
2026-06-11,2026-06-12,w31,weather-w31-2026-06-01+d6ff8b19,8742e39c49b866d669d5d988dc048e83b16753ae,d6ff8b19,8508c7c7762d55de3e1e01eada8293692d3fb3defd9041adaea53c47d4fa12a0,m2026.05.26.v1,prospective,SUCCESS,valid,2026-06-11T07:03:24.074564-05:00,5b339003a7f28ae46c711654315a4a9d6f6ada7f74a1ebb2df23f811c8a52136,,,21b0076d52b9b88b071d29b6178c7c168b5e3d1d72948235499a03015d8d5830,8501763c2137fe3b9e448526c01dea1ce99489254903bafdc0fef3bb1ad0f892,6a3ea28192ed8083439353e68fb008da783aea95c23f0118972c3bf03083b2c1,230452511bb3f2a5471d4a921775c7c10fe65a87906936886d73f3a92aef7f3a,f2be9014933f7ffd6123b4b38c8a64c520594310837daf56f35c21c95bdd5010,opentimestamps_proof,hashes/opentimestamps/2026/06/2026-06-11_w31_5b339003a7f28ae46c711654315a4a9d6f6ada7f74a1ebb2df23f811c8a52136.ots,,
